value label	orig_label	label_short	label_short_hemi	hemisphere	tissue	major_compartment	compartment	roi_order	roi_group	label_group
143	cingulate_area32_right	41	CG32	CG32_right	right	gm	cerebrum	cingulate cortex	143	34	cingulate cortex right
144	claustrum_anterior_right	58	CLa	CLa_right	right	gm	cerebrum	claustrum	144	35	claustrum right
145	claustrum_dorsal_right	62	CLd	CLd_right	right	gm	cerebrum	claustrum	145	35	claustrum right
146	claustrum_dorsal_endopiriform_nucleus_right	65	ENPd	ENPd_right	right	gm	cerebrum	claustrum	146	35	claustrum right
147	claustrum_endopiriform_right	75	CLendo	CLendo_right	right	gm	cerebrum	claustrum	147	35	claustrum right
148	claustrum_ventral_right	158	CLv	CLv_right	right	gm	cerebrum	claustrum	148	35	claustrum right
149	claustrum_endopiriform_ventral_nucleus_right	160	CLendovn	CLendovn_right	right	gm	cerebrum	claustrum	149	35	claustrum right
150	insula_right	78	INS	INS_right	right	gm	cerebrum	insula	150	36	insula right
151	piriform_cortex_right	87	PIR	PIR_right	right	gm	cerebrum	sensory olfactory	151	37	sensory olfactory right
152	olfactory_bulb_glomerular_right	337	OBgl	OBgl_right	right	gm	cerebrum	sensory olfactory	152	37	sensory olfactory right
153	olfactory_bulb_external_plexiform_right	338	OBep	OBep_right	right	gm	cerebrum	sensory olfactory	153	37	sensory olfactory right
154	olfactory_bulb_mitral_right	339	OBm	OBm_right	right	gm	cerebrum	sensory olfactory	154	37	sensory olfactory right
155	olfactory_bulb_internal_plexiform_right	340	OBip	OBip_right	right	gm	cerebrum	sensory olfactory	155	37	sensory olfactory right
156	olfactory_bulb_granular_right	341	OBgr	OBgr_right	right	gm	cerebrum	sensory olfactory	156	37	sensory olfactory right
157	anterior_olfactory_nucleus_right	344	AO	AO_right	right	gm	cerebrum	sensory olfactory	157	37	sensory olfactory right
158	olfactory_peduncle_right	5	OP	OP_right	right	gm	cerebrum	sensory olfactory	158	37	sensory olfactory right
159	olfactory_tubercle_right	95	OTu	OTu_right	right	gm	cerebrum	sensory olfactory	159	37	sensory olfactory right
160	lateral_olfactory_tract_right	101	lo	lo_right	right	wm	cerebrum	sensory olfactory	160	37	sensory olfactory right
161	accessory_olfactory_bulb_glomerular_layer_right	342	ABgl	ABgl_right	right	gm	cerebrum	sensory olfactory accessory	161	38	sensory olfactory accessory right
